,Entry Number,File Name,SMILES,Ered,HOMO,Gsol,Absorption Wavelength
133,133,BTZ-Neutral-wb97xd-1133,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC(F)(F)F)c(S(=O)(=O)N(C)C)c2nsnc12,2.51092571,-8.8944048,-0.90938541,341.42
763,763,BTZ-Neutral-wb97xd-1763,CC(=O)N(c1c(OC(F)(F)F)c(C)c(C#N)c2nsnc12)C(F)(F)C(F)(F)F,2.53492493,-9.3771102,-0.64223763,312.9
424,424,BTZ-Neutral-wb97xd-1424,CC(=O)N(c1c(C)c(C(F)(F)F)c(OC(F)(F)F)c2nsnc12)C(F)(F)C(F)(F)F,2.41721447,-9.2862288,-0.49816068,309.58
953,953,BTZ-Neutral-wb97xd-1953,CSc1c(C(F)(F)F)c(SC(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc12,2.58779396,-8.5880202,-0.53018685,383.45
1238,1238,BTZ-Neutral-wb97xd-830,CCOCN(C(C)=O)c1c(C(F)(F)F)c(OC)c(OC(F)(F)F)c2nsnc12,2.33071388,-8.8519572,-0.64468653,331.09
1369,1369,BTZ-Neutral-wb97xd-962,CCOCN(C(C)=O)c1c(C#N)c(N(C)C)c(OC(F)(F)F)c2nsnc12,2.28663368,-8.0152497,-0.7888179,401.45
800,800,BTZ-Neutral-wb97xd-1800,COc1c(OC(F)(F)F)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1SC(F)(F)F,2.30271479,-9.128955,-0.36915807,315.31
1122,1122,BTZ-Neutral-wb97xd-714,CCOCN(C(C)=O)c1c(C)c(C)c([N+](=O)[O-])c2nsnc12,2.16212072,-8.862297,-0.91085475,339.22
350,350,BTZ-Neutral-wb97xd-1350,CCOCN(C(C)=O)c1c(N(C)C)c(C#N)c(Br)c2nsnc12,2.22522071,-7.9662717,-0.89316825,406.69
534,534,BTZ-Neutral-wb97xd-1489,COc1c(N(C)C)c(C)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc12,1.85769524,-7.768455,-0.6048783,376.71
1089,1089,BTZ-Neutral-wb97xd-2089,CSc1c(N(C)C)c(N(C(C)=O)C(F)(F)C(F)(F)F)c2nsnc2c1[N+](=O)[O-],2.48570204,-8.1142941,-0.6571215,413.88
